,popularity
315290,24
532395,2
385706,16
49003,42
205032,27
329599,34
217567,41
445839,22
107782,45
364628,21
408837,8
384496,11
462044,34
104600,37
90599,12
129610,0
78936,61
297164,43
298527,59
62757,51
414845,44
22318,0
245486,1
400033,58
584904,47
326721,27
176925,41
220885,17
542235,18
460685,34
511560,0
410497,33
245385,49
89290,72
307578,28
485667,35
250517,37
241949,31
400651,5
65751,54
28893,16
482139,1
217046,32
48965,43
443413,47
449390,35
399718,54
315749,1
550470,33
479004,55
572209,22
526066,38
291713,11
544430,8
21748,0
83789,0
392671,13
274300,25
531036,45
158773,74
91165,77
58980,46
48834,45
122454,0
509559,39
301296,64
159215,71
17627,0
134539,0
25298,0
282757,31
458031,15
570361,0
246510,32
474094,35
442893,48
473299,23
498082,32
528152,35
429502,26
194829,14
299604,31
468877,6
465359,66
388762,41
393235,14
158702,68
200732,38
38375,25
493595,22
92482,75
375538,13
213857,4
110407,31
83520,64
553432,24
304315,3
58536,66
133152,0
47908,42
489266,25
188109,60
389761,54
489912,25
219324,2
310166,14
180725,28
438783,61
16000,12
383019,6
425880,4
420160,42
18066,1
322237,55
189561,15
476224,3
111031,55
546542,5
430214,23
161562,5
40777,45
247365,21
428376,6
12029,0
28450,5
561884,45
527929,30
290069,26
363462,7
545547,18
182276,37
557250,27
370815,44
261575,13
565703,6
124778,0
79759,7
221582,10
586159,15
307238,33
541354,6
117225,36
218712,45
332265,39
229567,24
97803,14
580122,24
411152,11
437980,0
225071,15
189443,7
329234,27
202717,12
311640,37
39465,26
559770,40
250673,29
370923,35
45981,42
70427,47
92636,7
402612,25
155726,23
180380,6
78255,2
283290,25
571444,11
316360,21
73730,63
239130,8
171772,38
154343,38
211175,50
107200,30
13216,0
487745,53
220641,12
470369,39
60366,40
185459,53
324279,15
469390,33
522172,22
25332,0
273939,48
268205,26
549782,22
228423,46
201098,36
319518,22
301936,45
351287,39
46182,39
73845,1
64429,42
485917,33
152167,24
470637,47
538648,17
411319,20
178461,60
22243,0
414327,29
186784,38
105125,37
49151,40
298458,24
568679,36
277247,47
318574,3
82108,0
393460,19
