,acousticness,loudness,energy,explicit
349892,0.557,-8.553,0.731,0
362855,0.852,-16.588,0.262,0
103283,0.0236,-9.691,0.567,0
30276,0.951,-19.687,0.0498,0
212926,0.737,-9.165,0.569,0
501887,0.221,-8.752,0.671,0
569159,0.923,-11.612,0.791,0
166620,0.161,-8.931,0.793,0
404492,0.0402,-3.827,0.753,0
525351,0.148,-4.646,0.983,0
326018,0.0577,-4.659,0.89,0
526430,0.0794,-10.863,0.728,0
413259,0.982,-30.351,0.0363,0
156025,0.81,-9.35,0.392,0
187972,0.000551,-2.501,0.899,0
544547,0.923,-19.819,0.145,0
517115,0.986,-11.279,0.291,0
39982,0.0449,-8.053,0.503,0
408950,0.398,-2.024,0.893,0
56937,0.761,-15.496,0.278,0
511202,0.969,-10.567,0.287,0
467447,0.147,-8.361,0.692,0
214587,0.355,-19.478,0.298,0
276705,0.352,-5.877,0.539,0
298075,0.87,-15.375,0.0709,0
361984,0.274,-8.434,0.492,0
132728,0.995,-19.022,0.156,0
516258,0.756,-8.883,0.633,0
360139,0.0145,-8.3,0.557,0
219810,0.59,-9.359,0.455,0
525054,0.54,-7.621,0.76,0
457459,0.864,-13.669,0.146,0
336062,0.00121,-2.839,0.879,0
322606,0.141,-4.48,0.714,0
271456,0.973,-10.731,0.178,0
268553,0.148,-9.763,0.553,0
317372,0.578,-6.351,0.898,0
381470,0.11,-5.378,0.807,1
78204,0.367,-7.243,0.626,0
213324,0.678,-6.397,0.907,0
563726,0.813,-9.187,0.212,0
464090,0.215,-4.833,0.641,0
291151,0.165,-14.423,0.394,0
239446,0.499,-13.965,0.344,0
92111,0.278,-2.986,0.758,0
182379,0.0188,-6.794,0.883,0
354167,0.423,-10.459,0.635,0
69756,0.135,-8.855,0.715,1
169526,0.486,-6.558,0.797,0
255149,0.35,-5.501,0.747,0
226939,0.63,-9.362,0.341,0
102,0.991,-15.79,0.246,0
110626,0.503,-10.507,0.788,0
2704,0.984,-11.489,0.263,0
487445,0.0688,-4.245,0.892,0
96081,0.889,-13.958,0.214,0
122884,0.749,-19.127,0.207,0
148402,0.676,-9.954,0.723,0
380183,0.000333,-10.823,0.66,0
74618,0.418,-11.697,0.506,0
370554,0.735,-11.849,0.419,0
33781,0.927,-12.223,0.0853,0
328148,0.54,-8.865,0.573,1
419476,0.221,-8.352,0.356,0
206377,0.688,-13.163,0.368,0
277040,0.637,-9.035,0.303,0
236787,0.887,-6.674,0.304,0
31182,0.986,-13.016,0.105,0
134768,0.97,-6.168,0.48,0
486691,0.0185,-4.072,0.934,0
193454,0.559,-12.035,0.78,0
583341,0.516,-5.252,0.605,0
76353,0.00581,-6.017,0.762,0
273603,0.141,-6.968,0.625,0
379361,0.715,-7.977,0.468,0
260917,0.168,-11.733,0.69,0
556689,0.0386,-4.731,0.964,0
123065,0.97,-18.302,0.0728,0
585750,0.671,-11.471,0.538,0
566042,0.679,-4.945,0.769,0
473893,0.0374,-5.544,0.827,0
574233,0.58,-8.97,0.504,0
266310,0.861,-12.344,0.367,0
28044,0.828,-12.4,0.216,0
146478,0.883,-9.978,0.904,0
149119,0.719,-8.938,0.4,0
159221,0.291,-3.206,0.771,0
319155,0.124,-10.828,0.654,0
385460,0.965,-16.966,0.147,0
66111,0.743,-10.287,0.625,0
353913,0.538,-10.282,0.617,0
356522,0.394,-8.922,0.578,0
144324,0.645,-8.395,0.405,0
354757,0.00368,-9.82,0.803,0
19644,0.984,-18.731,0.24,0
231085,0.0351,-14.524,0.381,0
263003,0.00533,-5.734,0.761,0
154686,0.718,-6.96,0.76,0
436026,0.771,-9.089,0.654,0
206826,0.0514,-7.253,0.92,0
77102,0.162,-4.231,0.568,0
356964,0.635,-4.512,0.882,0
38073,0.497,-5.206,0.775,0
186362,0.019,-7.1,0.6,0
78325,0.715,-16.099,0.218,0
495186,0.825,-19.152,0.288,0
287400,0.628,-14.833,0.364,0
88111,0.0244,-3.803,0.873,1
232105,0.852,-9.54,0.261,0
164952,9.45e-06,-8.816,0.895,0
301699,0.565,-11.065,0.407,0
10775,0.959,-15.579,0.0947,0
376970,0.0226,-14.207,0.473,0
317063,0.0722,-11.598,0.625,0
409128,0.288,-14.654,0.226,0
491579,0.00102,-6.489,0.952,0
465748,0.149,-9.595,0.728,0
496051,0.644,-10.623,0.599,0
132833,0.984,-3.652,0.424,0
378960,0.000786,-9.739,0.721,0
2803,0.958,-8.399,0.296,0
102543,0.028,-4.564,0.826,0
153386,0.649,-4.653,0.495,0
378339,0.595,-12.34,0.371,0
391933,0.314,-11.087,0.545,0
252407,0.508,-12.362,0.375,0
23789,0.972,-14.181,0.248,0
459215,0.344,-4.012,0.951,0
499657,0.08,-1.735,0.999,0
576287,0.914,-11.676,0.253,0
325445,0.271,-14.016,0.705,0
117586,0.995,-17.691,0.155,0
519244,0.223,-6.39,0.917,0
277270,0.826,-12.5,0.277,0
581066,0.605,-9.075,0.608,0
433722,0.284,-7.567,0.657,0
1285,0.985,-7.236,0.463,0
574836,0.83,-13.012,0.376,0
120061,0.76,-9.985,0.421,0
529037,0.329,-5.851,0.691,0
245549,0.0914,-9.242,0.641,0
112383,0.386,-5.814,0.853,0
121031,0.014,-5.667,0.948,0
438797,0.557,-5.146,0.905,0
216782,1.32e-05,-3.51,0.976,0
190855,0.716,-8.185,0.462,0
474248,0.765,-13.318,0.251,0
73037,0.0139,-7.488,0.679,0
257557,0.989,-21.858,0.0288,0
348083,0.0335,-6.497,0.927,0
182903,0.00284,-4.388,0.939,0
138168,0.445,-6.187,0.598,0
261033,0.815,-23.081,0.362,0
461496,0.733,-5.463,0.554,0
383926,0.346,-5.026,0.884,0
457300,0.894,-12.637,0.187,0
71542,0.714,-12.157,0.313,0
494170,0.925,-4.931,0.988,0
6658,0.968,-19.168,0.116,0
390565,0.765,-5.306,0.615,0
131574,0.903,-11.631,0.4,0
506125,0.308,-13.846,0.263,0
430530,0.209,-15.215,0.424,0
476524,0.45,-8.101,0.52,0
579923,0.531,-16.303,0.363,0
423247,0.0221,-15.405,0.54,0
284019,0.128,-12.025,0.747,0
216550,0.624,-7.147,0.522,0
375912,0.391,-8.644,0.5,0
567782,0.0206,-5.81,0.527,0
220880,0.824,-13.876,0.169,0
470349,0.0267,-6.778,0.915,0
458994,0.479,-12.227,0.534,0
133654,0.99,-13.957,0.321,0
364419,0.78,-13.155,0.322,0
388929,1.23e-05,-3.147,0.965,0
269581,0.869,-12.197,0.343,0
214228,0.394,-13.238,0.412,0
485213,0.313,-11.302,0.715,0
283651,0.702,-8.651,0.514,0
267227,0.867,-14.533,0.47,0
425368,0.039,-7.372,0.823,0
392187,0.321,-12.437,0.408,1
489455,0.0624,-6.746,0.848,0
197791,0.155,-10.52,0.613,0
243865,0.0466,-5.379,0.651,0
520478,0.949,-9.152,0.642,0
523735,0.681,-9.327,0.711,0
103910,0.87,-13.455,0.239,0
442181,0.394,-9.309,0.796,0
415383,0.504,-4.76,0.737,0
18025,0.947,-11.093,0.242,0
39359,0.819,-11.723,0.395,0
415144,0.694,-7.381,0.455,0
93943,0.351,-7.449,0.683,0
300107,0.238,-5.149,0.574,0
536077,0.798,-9.808,0.519,1
34666,0.556,-9.544,0.751,0
185819,1.66e-05,-3.449,0.973,0
365958,0.0341,-14.549,0.585,0
143374,0.159,-14.533,0.576,0
16013,0.843,-10.929,0.167,0
543560,0.978,-12.473,0.227,0
400163,0.0129,-10.681,0.44,1
148216,0.373,-8.884,0.72,0
20001,0.995,-16.994,0.121,0
61834,0.198,-2.738,0.987,0
188936,0.0631,-5.83,0.821,0
4778,0.86,-10.693,0.244,0
445368,0.635,-10.27,0.645,0
361181,0.778,-9.185,0.43,0
97041,0.713,-13.286,0.365,0
418615,0.157,-2.702,0.916,0
567220,0.178,-8.156,0.71,0
246486,0.21,-10.661,0.455,0
264611,0.297,-7.793,0.635,1
158386,0.0211,-7.035,0.705,0
341734,0.0969,-10.138,0.41,0
203490,0.222,-7.766,0.774,0
212195,0.876,-9.413,0.387,0
534846,0.105,-6.398,0.757,1
326458,0.884,-9.731,0.485,0
363494,0.814,-10.413,0.538,0
17531,0.000972,-5.972,0.776,0
472912,0.114,-13.935,0.582,0
38632,0.778,-6.234,0.691,0
150119,0.45,-15.766,0.314,0
465081,0.537,-8.502,0.288,0
33052,0.46,-8.989,0.429,0
450483,0.377,-6.01,0.523,0
139573,0.99,-21.349,0.321,0
293156,0.123,-11.671,0.486,0
227333,0.00162,-8.355,0.848,0
112,0.144,-8.247,0.684,0
288110,0.659,-13.401,0.385,0
418833,0.389,-7.809,0.727,0
509061,0.0692,-4.777,0.763,0
37245,0.227,-5.85,0.877,0
576815,0.925,-14.697,0.4,0
169615,0.0908,-8.31,0.746,0
467395,0.444,-13.856,0.587,0
178933,0.434,-5.296,0.675,0
51379,0.311,-13.641,0.49,0
60942,0.292,-6.207,0.836,0
520051,0.933,-9.329,0.466,0
449049,0.324,-7.704,0.434,0
316816,0.000683,-12.193,0.787,0
161518,0.991,-9.139,0.765,0
433703,0.461,-7.949,0.862,0
438020,0.821,-10.445,0.253,0
231469,0.593,-6.337,0.801,0
164502,0.000646,-6.386,0.799,0
93845,0.334,-7.86,0.624,0
281779,0.957,-21.514,0.104,0
120556,0.00327,-10.579,0.769,0
70819,0.25,-7.655,0.711,0
285961,0.0528,-3.867,0.99,0
186443,0.151,-4.436,0.775,0
172534,1.34e-05,-3.079,0.935,0
190782,0.907,-10.254,0.207,0
527175,0.364,-8.123,0.608,0
521785,0.814,-6.737,0.401,0
151444,0.972,-21.73,0.0316,0
76804,0.746,-10.402,0.544,0
426514,0.308,-4.686,0.935,0
24410,0.993,-20.98,0.0578,0
82271,0.00851,-1.912,0.856,1
164950,0.737,-4.476,0.502,0
447707,0.00675,-5.667,0.882,0
